model,mass_GeV,ctau_m,ctau_min_m,coupling_squared,N_events,N_events_before_ECAL,epsilon_ECAL_weighted,passes_event_cut,N_events_primary,N_events_cascade,N_events_inclusive,N_events_before_ECAL_primary,N_events_before_ECAL_cascade,N_events_before_ECAL_inclusive,valid_mother_samples,samples_passing_ECAL,template_model_seed
ALP-photon-combined,0.4,11.559999999999999,4.0,5.2990095238558706e-14,1269.470894475502,5622.268045344913,0.2257933780881525,True,576.2747413547463,693.1961531207559,,1427.7279552932903,4194.540090051622,,1752156,802294,64321
ALP-photon-combined,0.4,19.651999999999997,4.0,3.117064425797571e-14,477.09216155360684,2336.674758230478,0.20417568164895153,True,210.9789684869716,266.11319306663523,,546.8374518634378,1789.8373063670401,,1754387,806500,64321
ALP-photon-combined,0.4,33.40839999999999,4.0,1.8335673092926887e-14,174.00351692441063,909.3121108325597,0.19135730719026084,True,75.47444431309778,98.52907261131287,,201.7352017511759,707.5769090813839,,1755746,809153,64321
ALP-photon-combined,0.4,56.794279999999986,4.0,1.0785690054662877e-14,62.20721484938949,338.4118902457079,0.1838210081927772,True,26.656759083510174,35.55045576587931,,72.61087023539861,265.8010200103093,,1756480,811508,64321
ALP-photon-combined,0.4,96.55027599999997,4.0,6.344523561566399e-15,21.897688317676007,122.39875510238676,0.178904501923721,True,9.3227851185874,12.574903199088604,,25.728246558764113,96.67050854362265,,1756908,812044,64321
ALP-photon-combined,0.4,125.88615830443587,4.0,4.866027442638652e-15,12.969597290734463,73.08891235886591,0.17744958670412078,True,5.511690431216191,7.45790685951827,,15.256531185556609,57.83238117330931,,1757056,812687,64321
ALP-photon-combined,0.4,134.5191441238906,4.0,4.553742182551895e-15,11.384094492681417,64.2122004699092,0.17728865245812864,True,4.828340627161268,6.555753865520149,,13.383912858960876,50.82828761094833,,1757082,812843,64321
ALP-photon-combined,0.4,139.05517406585943,4.0,4.405197469801553e-15,10.649331788934608,60.182370626575214,0.17695101867974766,True,4.52382900817034,6.125502780764268,,12.535070853007314,47.6472997735679,,1757094,812502,64321
ALP-photon-combined,0.4,141.38022934696897,4.0,4.332752208616156e-15,10.297053107823798,58.26241079999049,0.17673578841721185,True,4.37706807487984,5.919985032943958,,12.130906440188747,46.131504359801745,,1757099,812493,64321
ALP-photon-combined,0.4,142.5572950414989,4.0,4.296977582097211e-15,10.12853606895931,57.325168960586915,0.1766856731974578,True,4.302750397720385,5.8257856712389255,,11.933722578643907,45.391446381943005,,1757102,812308,64321
ALP-photon-combined,0.4,143.14949769239738,4.0,4.2792011905904975e-15,10.045645703251498,56.86203500879221,0.17666700992495615,True,4.2674642867383925,5.778181416513106,,11.836322380451834,45.02571262834038,,1757102,812310,64321
ALP-photon-combined,0.4,143.44652091440318,4.0,4.270340591412922e-15,10.01930454159399,56.63195507364411,0.17691963006689246,True,4.249898633462655,5.769405908131334,,11.787919080145626,44.84403599349848,,1757103,812401,64321
ALP-photon-combined,0.4,143.52087296661,4.0,4.26812830981213e-15,10.009004232668737,56.574554786826155,0.17691706581488495,True,4.245518500696498,5.763485731972239,,11.775849036562999,44.79870575026316,,1757103,812401,64321
ALP-photon-combined,0.4,143.55806344343907,4.0,4.267022598832181e-15,10.003858034786361,56.54587622524936,0.17691578418444157,True,4.243330123219727,5.7605279115666335,,11.769818623454299,44.77605760179506,,1757103,812401,64321
ALP-photon-combined,0.4,143.5766622956272,4.0,4.266469850764841e-15,10.001285924402517,56.53154233681596,0.17691514349307283,True,4.242236356455605,5.759049567946913,,11.76680456839214,44.76473776842382,,1757103,812401,64321
ALP-photon-combined,0.4,143.5859626253012,4.0,4.266193503582771e-15,10.000000116276503,56.52437674030029,0.1769148231783471,True,4.241689578535586,5.7583105377409165,,11.765297828649329,44.75907891165096,,1757103,812401,64321
